Source Node,Source Tier,Target Node,Target Tier,Edge Type
Polysilicon,Tier 4,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Telephone Apparatus Manufacturing,Tier 2,Raw Material Flow
Copper,Tier 4,Telephone Apparatus Manufacturing,Tier 2,Raw Material Flow
Copper,Tier 4,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Other Communications Equipment Manufacturing,Tier 2,Raw Material Flow
Copper,Tier 4,Other Communications Equipment Manufacturing,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Audio and Video Equipment Manufacturing,Tier 2,Raw Material Flow
Copper,Tier 4,Audio and Video Equipment Manufacturing,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Bare Printed Circuit Board Manufacturing  ,Tier 2,Raw Material Flow
Copper,Tier 4,Bare Printed Circuit Board Manufacturing  ,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Semiconductor and Related Device Manufacturing ,Tier 3,Raw Material Flow
Gallium,Tier 4,Semiconductor and Related Device Manufacturing ,Tier 3,Raw Material Flow
Germanium,Tier 4,Semiconductor and Related Device Manufacturing ,Tier 3,Raw Material Flow
Tantalum,Tier 4,Semiconductor and Related Device Manufacturing ,Tier 3,Raw Material Flow
Copper,Tier 4,Semiconductor and Related Device Manufacturing ,Tier 3,Raw Material Flow
Polysilicon,Tier 4,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",Tier 2,Raw Material Flow
Copper,Tier 4,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",Tier 2,Raw Material Flow
Crude Oil,Tier 4,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",Tier 2,Raw Material Flow
Natural Gas,Tier 4,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",Tier 2,Raw Material Flow
Platinum,Tier 4,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",Tier 2,Raw Material Flow
Polysilicon,Tier 4,Electronic Connector Manufacturing ,Tier 2,Raw Material Flow
Gallium,Tier 4,Electronic Connector Manufacturing ,Tier 2,Raw Material Flow
Germanium,Tier 4,Electronic Connector Manufacturing ,Tier 2,Raw Material Flow
Tantalum,Tier 4,Electronic Connector Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Electronic Connector Manufacturing ,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,Tier 2,Raw Material Flow
Gallium,Tier 4,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,Tier 2,Raw Material Flow
Germanium,Tier 4,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,Tier 2,Raw Material Flow
Tantalum,Tier 4,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Other Electronic Component Manufacturing ,Tier 2,Raw Material Flow
Gallium,Tier 4,Other Electronic Component Manufacturing ,Tier 2,Raw Material Flow
Germanium,Tier 4,Other Electronic Component Manufacturing ,Tier 2,Raw Material Flow
Tantalum,Tier 4,Other Electronic Component Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Other Electronic Component Manufacturing ,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Electromedical and Electrotherapeutic Apparatus Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Electromedical and Electrotherapeutic Apparatus Manufacturing ,Tier 2,Raw Material Flow
Polysilicon,Tier 4,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",Tier 2,Raw Material Flow
Copper,Tier 4,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",Tier 2,Raw Material Flow
Steel,Tier 4,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Raw Material Flow
Aluminum,Tier 4,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Raw Material Flow
Natural Rubber,Tier 4,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Raw Material Flow
Copper,Tier 4,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Raw Material Flow
Polysilicon,Tier 4,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Raw Material Flow
Polysilicon,Tier 4,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",Tier 2,Raw Material Flow
Copper,Tier 4,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",Tier 2,Raw Material Flow
Polysilicon,Tier 4,Totalizing Fluid Meter and Counting Device Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Totalizing Fluid Meter and Counting Device Manufacturing ,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,Tier 2,Raw Material Flow
Copper,Tier 4,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Analytical Laboratory Instrument Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Analytical Laboratory Instrument Manufacturing ,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Irradiation Apparatus Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Irradiation Apparatus Manufacturing ,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Other Measuring and Controlling Device Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Other Measuring and Controlling Device Manufacturing ,Tier 2,Raw Material Flow
Polysilicon,Tier 4,Manufacturing and Reproducing Magnetic and Optical Media ,Tier 2,Raw Material Flow
Copper,Tier 4,Manufacturing and Reproducing Magnetic and Optical Media ,Tier 2,Raw Material Flow
Lithium Carbonate,Tier 4,Battery Manufacturing ,Tier 2,Raw Material Flow
Cobalt,Tier 4,Battery Manufacturing ,Tier 2,Raw Material Flow
Nickel,Tier 4,Battery Manufacturing ,Tier 2,Raw Material Flow
Copper,Tier 4,Other Communication and Energy Wire Manufacturing ,Tier 2,Raw Material Flow
Steel,Tier 4,Automobile and Light Duty Motor Vehicle Manufacturing ,Tier 1,Raw Material Flow
Aluminum,Tier 4,Automobile and Light Duty Motor Vehicle Manufacturing ,Tier 1,Raw Material Flow
Natural Rubber,Tier 4,Automobile and Light Duty Motor Vehicle Manufacturing ,Tier 1,Raw Material Flow
Copper,Tier 4,Automobile and Light Duty Motor Vehicle Manufacturing ,Tier 1,Raw Material Flow
Steel,Tier 4,Motor Vehicle Body Manufacturing ,Tier 1,Raw Material Flow
Aluminum,Tier 4,Motor Vehicle Body Manufacturing ,Tier 1,Raw Material Flow
Natural Rubber,Tier 4,Motor Vehicle Body Manufacturing ,Tier 1,Raw Material Flow
Copper,Tier 4,Motor Vehicle Body Manufacturing ,Tier 1,Raw Material Flow
Steel,Tier 4,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,Tier 1,Raw Material Flow
Aluminum,Tier 4,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,Tier 1,Raw Material Flow
Natural Rubber,Tier 4,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,Tier 1,Raw Material Flow
Copper,Tier 4,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,Tier 1,Raw Material Flow
Steel,Tier 4,Motor Vehicle Electrical and Electronic Equipment Manufacturing,Tier 1,Raw Material Flow
Aluminum,Tier 4,Motor Vehicle Electrical and Electronic Equipment Manufacturing,Tier 1,Raw Material Flow
Natural Rubber,Tier 4,Motor Vehicle Electrical and Electronic Equipment Manufacturing,Tier 1,Raw Material Flow
Copper,Tier 4,Motor Vehicle Electrical and Electronic Equipment Manufacturing,Tier 1,Raw Material Flow
Polysilicon,Tier 4,Motor Vehicle Electrical and Electronic Equipment Manufacturing,Tier 1,Raw Material Flow
Gallium,Tier 4,Motor Vehicle Electrical and Electronic Equipment Manufacturing,Tier 1,Raw Material Flow
Germanium,Tier 4,Motor Vehicle Electrical and Electronic Equipment Manufacturing,Tier 1,Raw Material Flow
Tantalum,Tier 4,Motor Vehicle Electrical and Electronic Equipment Manufacturing,Tier 1,Raw Material Flow
Steel,Tier 4,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,Tier 1,Raw Material Flow
Aluminum,Tier 4,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,Tier 1,Raw Material Flow
Natural Rubber,Tier 4,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,Tier 1,Raw Material Flow
Copper,Tier 4,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,Tier 1,Raw Material Flow
Steel,Tier 4,Motor Vehicle Brake System Manufacturing,Tier 1,Raw Material Flow
Aluminum,Tier 4,Motor Vehicle Brake System Manufacturing,Tier 1,Raw Material Flow
Natural Rubber,Tier 4,Motor Vehicle Brake System Manufacturing,Tier 1,Raw Material Flow
Copper,Tier 4,Motor Vehicle Brake System Manufacturing,Tier 1,Raw Material Flow
Steel,Tier 4,Motor Vehicle Transmission and Power Train Parts Manufacturing,Tier 1,Raw Material Flow
Aluminum,Tier 4,Motor Vehicle Transmission and Power Train Parts Manufacturing,Tier 1,Raw Material Flow
Natural Rubber,Tier 4,Motor Vehicle Transmission and Power Train Parts Manufacturing,Tier 1,Raw Material Flow
Copper,Tier 4,Motor Vehicle Transmission and Power Train Parts Manufacturing,Tier 1,Raw Material Flow
Steel,Tier 4,Motor Vehicle Seating and Interior Trim Manufacturing,Tier 1,Raw Material Flow
Aluminum,Tier 4,Motor Vehicle Seating and Interior Trim Manufacturing,Tier 1,Raw Material Flow
Natural Rubber,Tier 4,Motor Vehicle Seating and Interior Trim Manufacturing,Tier 1,Raw Material Flow
Copper,Tier 4,Motor Vehicle Seating and Interior Trim Manufacturing,Tier 1,Raw Material Flow
Steel,Tier 4,Motor Vehicle Metal Stamping,Tier 1,Raw Material Flow
Aluminum,Tier 4,Motor Vehicle Metal Stamping,Tier 1,Raw Material Flow
Natural Rubber,Tier 4,Motor Vehicle Metal Stamping,Tier 1,Raw Material Flow
Copper,Tier 4,Motor Vehicle Metal Stamping,Tier 1,Raw Material Flow
Steel,Tier 4,Other Motor Vehicle Parts Manufacturing,Tier 1,Raw Material Flow
Aluminum,Tier 4,Other Motor Vehicle Parts Manufacturing,Tier 1,Raw Material Flow
Natural Rubber,Tier 4,Other Motor Vehicle Parts Manufacturing,Tier 1,Raw Material Flow
Copper,Tier 4,Other Motor Vehicle Parts Manufacturing,Tier 1,Raw Material Flow
Polysilicon,Tier 4,Semiconductor and Other Electronic Component Manufacturing,Tier 3,Raw Material Flow
Gallium,Tier 4,Semiconductor and Other Electronic Component Manufacturing,Tier 3,Raw Material Flow
Germanium,Tier 4,Semiconductor and Other Electronic Component Manufacturing,Tier 3,Raw Material Flow
Tantalum,Tier 4,Semiconductor and Other Electronic Component Manufacturing,Tier 3,Raw Material Flow
Copper,Tier 4,Semiconductor and Other Electronic Component Manufacturing,Tier 3,Raw Material Flow
Petrochemical Manufacturing,Tier 3,Fats and Oils Refining and Blending ,Tier 2,Chemical Feedstock
Petrochemical Manufacturing,Tier 3,Petroleum Refineries,Tier 2,Chemical Feedstock
Petrochemical Manufacturing,Tier 3,Plastics Material and Resin Manufacturing ,Tier 2,Chemical Feedstock
Petrochemical Manufacturing,Tier 3,Synthetic Rubber Manufacturing ,Tier 2,Chemical Feedstock
Petrochemical Manufacturing,Tier 3,Plastics Bag and Pouch Manufacturing ,Tier 2,Chemical Feedstock
Petrochemical Manufacturing,Tier 3,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,Chemical Feedstock
Petrochemical Manufacturing,Tier 3,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,Chemical Feedstock
Petrochemical Manufacturing,Tier 3,Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,Chemical Feedstock
Petrochemical Manufacturing,Tier 3,Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,Chemical Feedstock
Petrochemical Manufacturing,Tier 3,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,Chemical Feedstock
Petrochemical Manufacturing,Tier 3,Plastics Bottle Manufacturing,Tier 2,Chemical Feedstock
Petrochemical Manufacturing,Tier 3,Plastics Plumbing Fixture Manufacturing ,Tier 2,Chemical Feedstock
Petrochemical Manufacturing,Tier 3,All Other Plastics Product Manufacturing ,Tier 2,Chemical Feedstock
Petrochemical Manufacturing,Tier 3,Rubber and Plastics Hoses and Belting Manufacturing,Tier 2,Chemical Feedstock
Petrochemical Manufacturing,Tier 3,Rubber Product Manufacturing for Mechanical Use ,Tier 2,Chemical Feedstock
Petrochemical Manufacturing,Tier 3,All Other Rubber Product Manufacturing ,Tier 2,Chemical Feedstock
Other Basic Inorganic Chemical Manufacturing ,Tier 3,Fats and Oils Refining and Blending ,Tier 2,Chemical Feedstock
Other Basic Inorganic Chemical Manufacturing ,Tier 3,Petroleum Refineries,Tier 2,Chemical Feedstock
Other Basic Inorganic Chemical Manufacturing ,Tier 3,Plastics Material and Resin Manufacturing ,Tier 2,Chemical Feedstock
Other Basic Inorganic Chemical Manufacturing ,Tier 3,Synthetic Rubber Manufacturing ,Tier 2,Chemical Feedstock
Other Basic Inorganic Chemical Manufacturing ,Tier 3,Plastics Bag and Pouch Manufacturing ,Tier 2,Chemical Feedstock
Other Basic Inorganic Chemical Manufacturing ,Tier 3,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,Chemical Feedstock
Other Basic Inorganic Chemical Manufacturing ,Tier 3,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,Chemical Feedstock
Other Basic Inorganic Chemical Manufacturing ,Tier 3,Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,Chemical Feedstock
Other Basic Inorganic Chemical Manufacturing ,Tier 3,Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,Chemical Feedstock
Other Basic Inorganic Chemical Manufacturing ,Tier 3,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,Chemical Feedstock
Other Basic Inorganic Chemical Manufacturing ,Tier 3,Plastics Bottle Manufacturing,Tier 2,Chemical Feedstock
Other Basic Inorganic Chemical Manufacturing ,Tier 3,Plastics Plumbing Fixture Manufacturing ,Tier 2,Chemical Feedstock
Other Basic Inorganic Chemical Manufacturing ,Tier 3,All Other Plastics Product Manufacturing ,Tier 2,Chemical Feedstock
Other Basic Inorganic Chemical Manufacturing ,Tier 3,Rubber and Plastics Hoses and Belting Manufacturing,Tier 2,Chemical Feedstock
Other Basic Inorganic Chemical Manufacturing ,Tier 3,Rubber Product Manufacturing for Mechanical Use ,Tier 2,Chemical Feedstock
Other Basic Inorganic Chemical Manufacturing ,Tier 3,All Other Rubber Product Manufacturing ,Tier 2,Chemical Feedstock
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,Fats and Oils Refining and Blending ,Tier 2,Chemical Feedstock
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,Petroleum Refineries,Tier 2,Chemical Feedstock
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,Plastics Material and Resin Manufacturing ,Tier 2,Chemical Feedstock
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,Synthetic Rubber Manufacturing ,Tier 2,Chemical Feedstock
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,Plastics Bag and Pouch Manufacturing ,Tier 2,Chemical Feedstock
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,Chemical Feedstock
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,Chemical Feedstock
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,Chemical Feedstock
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,Chemical Feedstock
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,Chemical Feedstock
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,Plastics Bottle Manufacturing,Tier 2,Chemical Feedstock
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,Plastics Plumbing Fixture Manufacturing ,Tier 2,Chemical Feedstock
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,All Other Plastics Product Manufacturing ,Tier 2,Chemical Feedstock
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,Rubber and Plastics Hoses and Belting Manufacturing,Tier 2,Chemical Feedstock
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,Rubber Product Manufacturing for Mechanical Use ,Tier 2,Chemical Feedstock
"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,All Other Rubber Product Manufacturing ,Tier 2,Chemical Feedstock
All Other Basic Organic Chemical Manufacturing ,Tier 3,Fats and Oils Refining and Blending ,Tier 2,Chemical Feedstock
All Other Basic Organic Chemical Manufacturing ,Tier 3,Petroleum Refineries,Tier 2,Chemical Feedstock
All Other Basic Organic Chemical Manufacturing ,Tier 3,Plastics Material and Resin Manufacturing ,Tier 2,Chemical Feedstock
All Other Basic Organic Chemical Manufacturing ,Tier 3,Synthetic Rubber Manufacturing ,Tier 2,Chemical Feedstock
All Other Basic Organic Chemical Manufacturing ,Tier 3,Plastics Bag and Pouch Manufacturing ,Tier 2,Chemical Feedstock
All Other Basic Organic Chemical Manufacturing ,Tier 3,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,Chemical Feedstock
All Other Basic Organic Chemical Manufacturing ,Tier 3,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,Chemical Feedstock
All Other Basic Organic Chemical Manufacturing ,Tier 3,Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,Chemical Feedstock
All Other Basic Organic Chemical Manufacturing ,Tier 3,Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,Chemical Feedstock
All Other Basic Organic Chemical Manufacturing ,Tier 3,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,Chemical Feedstock
All Other Basic Organic Chemical Manufacturing ,Tier 3,Plastics Bottle Manufacturing,Tier 2,Chemical Feedstock
All Other Basic Organic Chemical Manufacturing ,Tier 3,Plastics Plumbing Fixture Manufacturing ,Tier 2,Chemical Feedstock
All Other Basic Organic Chemical Manufacturing ,Tier 3,All Other Plastics Product Manufacturing ,Tier 2,Chemical Feedstock
All Other Basic Organic Chemical Manufacturing ,Tier 3,Rubber and Plastics Hoses and Belting Manufacturing,Tier 2,Chemical Feedstock
All Other Basic Organic Chemical Manufacturing ,Tier 3,Rubber Product Manufacturing for Mechanical Use ,Tier 2,Chemical Feedstock
All Other Basic Organic Chemical Manufacturing ,Tier 3,All Other Rubber Product Manufacturing ,Tier 2,Chemical Feedstock
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,Prefabricated Wood Building Manufacturing ,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,Prefabricated Metal Building and Component Manufacturing ,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,Fabricated Structural Metal Manufacturing ,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,Other Fabricated Wire Product Manufacturing ,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,Fabricated Pipe and Pipe Fitting Manufacturing ,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,Farm Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,Construction Machinery Manufacturing,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,Mining Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,Food Product Machinery Manufacturing ,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,All Other Industrial Machinery Manufacturing ,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,Packaging Machinery Manufacturing ,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Metal Processing
Iron and Steel Mills and Ferroalloy Manufacturing ,Tier 3,Other Communication and Energy Wire Manufacturing ,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,Prefabricated Wood Building Manufacturing ,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,Prefabricated Metal Building and Component Manufacturing ,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,Fabricated Structural Metal Manufacturing ,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,Other Fabricated Wire Product Manufacturing ,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,Fabricated Pipe and Pipe Fitting Manufacturing ,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,Farm Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,Construction Machinery Manufacturing,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,Mining Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,Food Product Machinery Manufacturing ,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,All Other Industrial Machinery Manufacturing ,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,Packaging Machinery Manufacturing ,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Metal Processing
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Tier 3,Other Communication and Energy Wire Manufacturing ,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,Prefabricated Wood Building Manufacturing ,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,Prefabricated Metal Building and Component Manufacturing ,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,Fabricated Structural Metal Manufacturing ,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,Other Fabricated Wire Product Manufacturing ,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,Fabricated Pipe and Pipe Fitting Manufacturing ,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,Farm Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,Construction Machinery Manufacturing,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,Mining Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,Food Product Machinery Manufacturing ,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,All Other Industrial Machinery Manufacturing ,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,Packaging Machinery Manufacturing ,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Metal Processing
Rolled Steel Shape Manufacturing ,Tier 3,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Metal Processing
